'cause	kɒz
'cause	kɔz
'cause	kəz
'twas	twɒz
'twasn't	ˈtwɒzn̩t
'ullo	ˈʌləʊ
-cha	tʃjæ
-cha	tʃjə
-eer	ɪə
-er	ə
-est	ɪst
-fu	fuː
-ham	həm
-ham	əm
-ish	ɪʃ
-lite	-ˌlaɪt
-lite	-ˌlʌɪt
-logue	lɒɡ
-logues	lɒɡz
-mane	meɪn
-morphy	ˈmɔːfi
-ness	nəs
-o	əʊ
-odontia	əʊˈdɒntɪə
-odontia	əˈdɒntɪə
-oon	uːn
-opsia	ˈɒpsɪə
-or	ə
-ose	-əʊs
-oyl	əʊɪl
-poeia	ˈpiːə
-poo	i
-poo	puː
-poo	ɪ
-ptile	ptɪl
-ptile	ptʌɪl
-ress	ɹəs
-stat	stat
-um	əm
-verse	vəːs
101	ˈwʌnˌoʊ̯ˈwʌn
1080	tɛnˈeɪti
1984	ˌnʌɪntiːnˌeɪtiˈfɔː
1984-ish	ˌnʌɪntiːneɪtiˈfɔːɹɪʃ
3D printer	ˈθɹiː ˈdiː ˈpɹɪntə
404	ˈfɔːɹəʊˌfɔː
470	ˌfɔːˈsɛvɨnti
6x6	sɪks baɪ sɪks
747	ˌsɛvənfɔːˈsɛvən
Aalborg	ˈɔːlbɔː
Aalborg	ˈɔːlbɔːɡ
Abbey Wood	ˈæbi wʊd
Aberdare	ˌæbəˈdɛː
Aberdeen	æbəˈdiːn
Acheulean	əˈtʃuːlɪən
Achilles heel	əˌkɪliːz ˈhiːl
Acre	ˈeɪkə
Acre	ˈɑːkə
Acre	ˈɑːkɹə
Acton	æktən
Addington	ædɪŋtən
Addiscombe	ædɪskəm
Adige	ˈadɪdʒeɪ
Admiral	ˈædməɹəl
Adolph	ˈædɒlf
Adonai	əˈdəʊneɪˌʌɪ
Adonai	əˈdəʊnʌɪ
Adonai	ˈædənʌɪ
Adonis	əˈdoʊnɪs
Adonis	əˈdɒnɪs
Adrian	ˈeɪdɹiːən
